,Level,Kills,Damage,Matches Played,Kills Per Match,Winning Kills,Kills As Kill Leader,Headshots,Finishers,Revives,Full Squad Wins,Times Top 3,Pistol Kills,SMG Kills,AR Kills,Sniper Kills,Care Package Kills,Season 5 Wins,Season 5 Kills,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Wins,Top 3 Legends,name,Season 9 Wins,Season 9 Kills,Season 11 Kills,Season 13 Wins,Season 13 Kills,Season 16 Wins,Season 16 Kills,Arena Kills,Arena Wins,Season 19 Wins,Season 19 Kills,Season 11 Wins,Season 14 Wins,Season 17 Wins,Season 17 Kills,Season 18 Wins,Season 18 Kills,Arena Damage,LMG Kills,Season 8 Wins,Season 10 Wins,Season 10 Kills,Arena Winstreak,Season 8 Kills,Season 12 Wins,Season 12 Kills,Season 15 Wins,Season 15 Kills,Shotgun Kills,Season 14 Kills,Neutral Airdrops Looted,Damage Per Match,Peak Rank
84,"1,662","44,087","10,171,197","5,440",,,,"43,592",,,,,,"17,866","7,945",,,,12,,,,,"3,700","['Mad Maggie', 'Lifeline', 'Bangalore']",Grizzleay,394,"3,912",442,277,"2,813","1,100","11,000","1,262",242,,,,223,700,,,,"58,282",,,,,,528,380,"3,876",,,"1,441",,,,
85,"3,156","54,655","13,151,984",796,,,"1,212",,645,,987,,,"3,264","4,308",,"1,688",78,"1,033",12,174,439,"2,074","3,696","['Wraith', 'Horizon', 'Octane']",Splyffyy,299,"3,991",808,,,0,2,,,,,32,,,,,,,,345,143,,,"1,952",126,"1,622",,,,,,,
86,"1,524","68,835","21,009,746","1,109",2.90,,73,"4,230",571,113,,211,,,"2,415",,,3,,1,2,126,"2,208","3,690","['Horizon', 'Fuse', 'Pathfinder']",Vurbo Tirgin,5,,573,23,"3,056",69,"1,236",,1,31,465,32,164,38,735,6,,,,69,29,442,,"1,099",14,192,21,"1,118",,,,,
87,"2,452","63,180","19,004,961",431,,30.00,,"30,469",,,918,,"2,456",,,,,286,"4,574",,,179,,"3,730","['Wraith', 'Pathfinder', 'Lifeline']",Ambytionz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"3,028","65,561","16,698,998",,,,,"88,693","1,845","1,733",,,,"18,617",,,,,,12,115,68,"1,070","3,687","['Wraith', 'Lifeline', 'Pathfinder']",tidalwave13_ttv,94,"1,029",,313,"3,915",564,"7,730",728,197,2,"10,952",,285,725,"10,101",444,"10,129",,,48,14,,,896,,,527,"6,113",,"4,120",,,
89,"2,924","54,338","10,282,517",,,,143,"53,935",353,,36,5,,"2,184",,"1,135",,535,"6,083",9,"2,205",425,"1,493","3,686","['Wraith', 'Bangalore', 'Octane']",kitchn_,263,"1,225",,,,,,,,219,"4,011",,,,,,,,,446,,,,"5,274",,,,,,,,,"2,800"
90,"1,089","39,886","8,988,540",,,665.00,"2,808",,,,152,,172,20,,,,,,,,,,"3,685","['Lifeline', 'Wraith', 'Bangalore']",TryHuraH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"2,371","48,297","11,233,324","11,796",,"1,160.00","5,103","60,212",2,"4,212","2,853",,,"13,269","10,588",1,"1,307",653,"5,580",72,,,36,"3,681","['Wraith', 'Bangalore', 'Pathfinder']",TheOGKing-,0,,,,,,,,30,,,,,3,,,,,"1,903",0,,,,,0,,,,,,,,
92,"3,856","81,009","13,295,215","2,513",,890.00,"1,304","94,848","1,818","3,239","3,053","3,107","3,251","13,744","21,114",,"1,870",155,"2,560",201,"3,860",355,"5,764","3,673","['Valkyrie', 'Wattson', 'Revenant']",GoldiloxLaFleur,733,"8,669","4,631",230,"4,393",55,"1,613",887,164,178,"1,872",438,,163,"3,320",24,453,"15,413","2,094",435,6,"5,599",,"7,134",46,"1,501",,,194,,131,,
93,"1,921","68,357","17,263,458","2,501",,,869,,"1,044","2,713",,,,,,0,,4,299,,,,21,"3,673","['Lifeline', 'Loba', 'Wraith']",ishmish-,1,,"2,055",,866,219,"2,296","1,317",136,445,"9,805",118,547,21,164,,,"276,860",,,2,,,69,1,,53,828,,100,,,
94,"2,672","55,557","14,772,064","16,343",,,,"45,680",,,,,,,,,,,,109,"2,421",,,"3,654","['Wraith', 'Crypto', 'Horizon']",UchuujinTv,294,"3,383",,,,,,,,36,"1,296",,,144,"1,543",,,,,,,,,,,,,,,,,,
95,"3,581","74,823","15,623,286",335,,,"11,268","84,864",382,"5,208","2,832",,"1,995","18,704","10,027",,,161,"1,642",0,,666,"7,217","3,647","['Lifeline', 'Bloodhound', 'Horizon']",Wash3dB0t,10,"8,608","1,299",,,,,285,38,211,,67,,,,,,"54,260",,,,,,,,,,,,,,,
96,"2,186","60,584","18,252,069",,,,"6,956","70,563",,"12,795",,"6,001",,,"12,952",,,208,"3,686",0,"1,978",,"3,325","3,645","['Lifeline', 'Bloodhound', 'Bangalore']",GoodBoyJJuno,,"4,307","3,208",,2,,,,,,,170,,,,,,,,,,"2,294",,"6,286",136,"2,051",,,,0,,,
97,"2,091","69,318","17,447,946",40,,,"3,776","94,612",175,940,,,,,,,"4,228",152,"2,351",25,387,284,,"3,637","['Horizon', 'Wraith', 'Lifeline']",stewiecookie_,0,,,,,,,"6,057","1,062",,,,,,,,,"2,734,296",,,,,,,,,,,,,,,
98,"1,982","80,353","20,617,871","11,415",,,"5,595","95,969",,,,,"2,434","10,651",,,,415,"3,869",84,"1,938",28,472,"3,629","['Wraith', 'Horizon', 'Catalyst']",ITzOZZYTtv,,,924,,,506,"7,916",,,381,"9,697",,,589,"9,793",285,"6,995",,,210,,,,"2,806",,,200,"3,615",382,,,,
99,"2,253","82,067","18,048,492",,,"1,561.00",,"104,531","3,338",,"3,063","5,257",,"19,517","23,130",,,,,,"2,210",2,"1,013","3,624","['Wraith', 'Bangalore', 'Lifeline']",i-PearlSwishers,875,"10,466","6,466",264,"6,521",403,"10,000","1,489",273,,"2,276",277,,,,,,,,1,406,"5,566",,"6,166",348,"5,324",,,"6,391","2,841",,,
