,Level,Kills,Damage,Wins,Kills As Kill Leader,Headshots,Finishers,Full Squad Wins,Times Top 3,Season 5 Wins,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Season 10 Wins,Season 10 Kills,Season 11 Wins,Season 11 Kills,Season 15 Kills,Arena Wins,Top 3 Legends,name,Season 19 Wins,Season 19 Kills,Matches Played,Revives,SMG Kills,AR Kills,LMG Kills,Sniper Kills,Care Package Kills,Season 5 Kills,Season 9 Wins,Season 12 Wins,Season 12 Kills,Season 13 Wins,Season 13 Kills,Season 15 Wins,Season 16 Wins,Season 17 Wins,Season 18 Wins,Arena Kills,Arena Damage,Arena Winstreak,Pistol Kills,Season 8 Kills,Season 9 Kills,Winning Kills,Shotgun Kills,Season 8 Wins,Season 14 Wins,Season 16 Kills,Season 17 Kills,Peak Rank,Kills Per Match,Season 14 Kills,Damage Per Match,Season 18 Kills
90,"2,999","75,568","23,771,797","3,003",2,"23,472",491,,"4,846",141,146,"2,998",233,"1,524",,,,,,309,"['Lifeline', 'Wraith', 'Pathfinder']",xPeaceMakerOG,,,"27,327","11,340",,,,,,"2,204",139,,,,,,,,21,"1,522","75,096",,"13,950","2,496","2,702",,,129,,,,,1.70,,595.29,840
91,"4,522","84,927","3,905,741","3,001",323,"57,841",139,206,,80,30,443,13,,0,,179,"2,462","3,325",,"['Octane', 'Revenant', 'Horizon']",p3rc 3000,,,,,"1,337","3,177",26,5,69,"3,356",179,,286,,,,500,202,,,,,28,"6,969","2,210",,,646,208,"13,333","2,800",,,"2,127",,
92,"1,316","52,284","12,545,554","3,000",,"60,872",733,"1,717","1,817",205,287,"4,805",294,"2,093",,,,,,8,"['Bangalore', 'Pathfinder', 'Caustic']",Just_Kingston_,,,"6,839","7,074","9,495","11,203",,,,"2,562",,,,,,,,,,"3,282",,,,"4,479","1,302",,552,330,,,,,,,,
93,"2,613","98,541","23,411,631","2,998","2,147","127,093",23,"2,523",,,,,50,379,236,"5,126",,"12,759","1,730","1,417","['Pathfinder', 'Wraith', 'Horizon']",@Splixzy,,"4,601",391,2,"29,573","25,006",,,,"2,027",241,900,"8,885",286,237,108,452,500,,"6,819","1,383,696",,"5,548",795,"4,858",,,12,,"12,345","7,159",,1.49,"2,688",,
94,"1,679","51,988","13,514,183","2,997","2,256",,,"1,741",,225,,,,375,,,,,,57,"['Wraith', 'Loba', 'Pathfinder']",TrookoTakesOver,,339,,"1,600",,,,,,,,,,,,,,,,"1,224","125,693",,,,,,,,,,,,,,,
95,"3,340","73,211","19,789,607","2,992","4,393","18,789",93,"1,078",86,397,197,"1,502",116,"2,321",,671,58,"1,226",,55,"['Bangalore', 'Wraith', 'Lifeline']",eternusvia,,,"10,594","2,129","5,561",,323,,,"6,892",,,,,,0,,,,320,"119,558",7,"2,063",,,546.00,"5,322",16,,,,,,,,
96,"1,852","58,850","13,704,690","2,991",,"40,326",32,,"1,941",0,0,,0,,75,"1,147",,666,146,"1,114","['Wraith', 'Pathfinder', 'Octane']",BuffWraithPlzTY,,428,781,114,"1,523",,,,,141,0,,154,79,14,6,,,,"1,156",,,,,666,,,,,252,,,,,,
97,"2,284","45,447",,"2,989",,,"7,079",,,,,,472,35,143,,5,"3,446","3,355",,"['Lifeline', 'Wattson', 'Bangalore']",Zeyquh,,,,"7,445",,,,,"1,220","4,709",125,,,,,800,,,,,,,,,,,,2,,,,,,,,
98,"1,794","47,286","11,168,606","2,988",28,721,,676,,114,69,,105,654,,,,,,68,"['Wraith', 'Lifeline', 'Horizon']",Stickybudz,128,"2,017",,,,,,,,"1,271",,,,48,,,30,381,25,,,,,,,,,20,175,449,,,,,,442
99,"1,024","58,287","14,950,336","2,985",,,475,,,,0,0,321,"6,081",,,,,,,"['Horizon', 'Valkyrie', 'Wraith']",KIngHedaTTV,,,,,,,,,,0,,,,,,,,,,,,67,63,"9,288",,20.00,,547,,,,,,,,
